,att.pitch,att.roll,att.yaw,acc.x,acc.y,acc.z,gyro.pitch_w,gyro.roll_w,gyro.yaw_w
2023-11-21 21:01:57.530,1.2999999523,5.9000000954,277.0,-46.0,200.0,1959.0,0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.540,1.2999999523,5.9000000954,277.0,-46.0,201.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.550,1.2999999523,5.9000000954,277.0,-46.0,201.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.560,1.2999999523,5.9000000954,277.0,-45.0,199.0,1960.0,0.0609756112,0.0,0.0
2023-11-21 21:01:57.570,1.2999999523,5.9000000954,277.0,-45.0,202.0,1962.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.580,1.2999999523,5.9000000954,277.0,-44.0,202.0,1960.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.590,1.2999999523,5.9000000954,277.0,-45.0,204.0,1961.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.600,1.2999999523,5.9000000954,277.0,-45.0,204.0,1961.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.610,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,-0.0609756112,0.0,0.0609756112
2023-11-21 21:01:57.620,1.2999999523,5.9000000954,277.0,-46.0,203.0,1959.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.630,1.2999999523,5.9000000954,277.0,-46.0,199.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.640,1.2999999523,5.9000000954,277.0,-45.333333333333336,200.33333333333334,1958.3333333333333,0.0,0.0,0.0
2023-11-21 21:01:57.650,1.2999999523,5.9000000954,277.0,-44.0,201.0,1959.0,0.0,-0.0609756112,0.0
2023-11-21 21:01:57.660,1.2999999523,5.9000000954,277.0,-44.0,201.0,1959.0,0.0,-0.0609756112,0.0
2023-11-21 21:01:57.670,1.2999999523,5.9000000954,277.0,-47.0,202.0,1959.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.680,1.2999999523,5.9000000954,277.0,-47.0,202.0,1959.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.690,1.2999999523,5.9000000954,277.0,-45.0,199.0,1958.0,0.0,0.0,0.0
2023-11-21 21:01:57.700,1.2999999523,5.9000000954,277.0,-44.0,202.0,1959.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.710,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.720,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.730,1.2999999523,5.9000000954,277.0,-45.0,202.0,1959.0,-0.0304878056,0.0304878056,-0.0304878056
2023-11-21 21:01:57.740,1.2999999523,5.9000000954,277.0,-45.0,203.0,1958.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.750,1.2999999523,5.9000000954,277.0,-45.0,203.0,1957.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.760,1.2999999523,5.9000000954,277.0,-46.0,202.0,1958.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.770,1.2999999523,5.9000000954,277.0,-45.0,201.0,1957.0,0.0304878056,0.0,-0.0304878056
2023-11-21 21:01:57.780,1.2999999523,5.9000000954,277.0,-44.0,200.0,1956.0,0.0609756112,0.0,0.0
2023-11-21 21:01:57.790,1.2999999523,5.9000000954,277.0,-45.0,201.0,1955.0,0.0,0.0609756112,-0.0609756112
2023-11-21 21:01:57.800,1.2999999523,5.9000000954,277.0,-45.0,201.0,1956.0,0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.810,1.2999999523,5.9000000954,277.0,-45.5,201.0,1957.0,0.0,-0.0304878056,-0.0304878056
2023-11-21 21:01:57.820,1.2999999523,5.9000000954,277.0,-46.0,201.0,1958.0,-0.0609756112,-0.0609756112,0.0
2023-11-21 21:01:57.830,1.2999999523,5.9000000954,277.0,-45.5,201.0,1958.0,-0.0609756112,-0.0304878056,0.0
2023-11-21 21:01:57.840,1.2999999523,5.9000000954,277.0,-45.0,201.0,1958.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.850,1.2999999523,5.9000000954,277.0,-45.0,198.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.860,1.2999999523,5.9000000954,277.0,-45.0,200.0,1958.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.870,1.2999999523,5.9000000954,277.0,-47.0,202.0,1958.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.880,1.2999999523,5.9000000954,277.0,-47.0,202.0,1958.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.890,1.2999999523,5.9000000954,277.0,-46.0,199.0,1957.0,0.0609756112,0.0,0.0
2023-11-21 21:01:57.900,1.2999999523,5.9000000954,277.0,-46.0,200.0,1958.0,0.0609756112,0.0,0.0
2023-11-21 21:01:57.910,1.2999999523,5.9000000954,277.0,-45.0,199.0,1958.0,0.0609756112,-0.0609756112,0.0
2023-11-21 21:01:57.920,1.2999999523,5.9000000954,277.0,-45.0,199.0,1957.5,0.0304878056,-0.0304878056,0.0
2023-11-21 21:01:57.930,1.2999999523,5.9000000954,277.0,-45.0,199.0,1957.0,0.0,0.0,0.0
2023-11-21 21:01:57.940,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.950,1.2999999523,5.9000000954,277.0,-46.5,203.0,1959.0,-0.0304878056,0.0304878056,-0.0304878056
2023-11-21 21:01:57.960,1.2999999523,5.9000000954,277.0,-47.0,204.0,1959.0,-0.0609756112,0.0609756112,-0.0609756112
2023-11-21 21:01:57.970,1.2999999523,5.9000000954,277.0,-46.0,201.0,1959.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.980,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.990,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,-0.0609756112,0.0,-0.0304878056
2023-11-21 21:01:58.000,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:58.010,1.2999999523,5.9000000954,277.0,-47.0,204.0,1959.0,0.0,0.0,0.0
